Store Ranking,,,,,,,,,,,
Time:Latest 104 Weeks Thu-Wed Ending 012925,,,,,,,,,,,
Product:Soft-Drink,,,,,,,,,,,
Product2:Products by Vendor/Brand,,,,,,,,,,,
Vendor:All Vendors,,,,,,,,,,,
Sobeys Brand:All Brands,,,,,,,,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,,,,,,,,
Geography,Location No,Store No,Store Name,Division Name,Format Name,Banners Name,Store Address,Store Status - 52 Weeks,City Name,Province Name,Postal Code
Store 51,19245,51,Store 51,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 52,11313,52,Store 52,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 53,11317,53,Store 53,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 54,12786,54,Store 54,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 55,11321,55,Store 55,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 56,11322,56,Store 56,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 57,11327,57,Store 57,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 58,16165,58,Store 58,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 59,12705,59,Store 59,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 60,25424,60,Store 60,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 61,11340,61,Store 61,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 62,11341,62,Store 62,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 63,11343,63,Store 63,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 64,18024,64,Store 64,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 65,13446,65,Store 65,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 66,12724,66,Store 66,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 67,18165,67,Store 67,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 68,11361,68,Store 68,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 69,11273,69,Store 69,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 70,11362,70,Store 70,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 71,25006,71,Store 71,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 72,12826,72,Store 72,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 73,11368,73,Store 73,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
