Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 19,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
Store 19,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,39.96,6
Store 19,Cocacola Classic 8520 Ml,00006700002011,26.58,3
Store 20,7Up Soft Drink Diet 1332 Ml,00006540001808,53.94,9
Store 20,Canaddry Gingerale 355 Ml,00006210001893,15.92,12
Store 20,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,15.98,3
Store 20,Pepsi Throwback 355 Ml,00006900002088,8.98,3
Store 20,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,179.82,27
Store 20,Cocacola Classic 8520 Ml,00006700002011,53.16,6
Store 21,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
Store 21,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,65.94,9
Store 21,Pepsi Zero Sugar 1332 Ml,00006900015936,17.98,3
Store 21,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,67.96,6
Store 21,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,21.98,3
Store 21,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,16.98,3
Store 21,Fevertre Tonic Water Light 800 Ml,00506010846023,33.96,6
Store 21,Comp Soft Drink Cola 1332 Ml,00005574255844,27.98,3
Store 21,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,55.96,6
Store 21,Cocacola Classic 8520 Ml,00006700002011,31.98,3
Store 21,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,33.96,6
Store 21,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,67.92,12
Store 22,Canaddry Gingerale 355 Ml,00006210001893,63.68,48
Store 22,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,15.98,3
Store 22,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 22,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,39.96,6
Store 22,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
Store 22,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,21.98,3
Store 22,Cocacola Classic 8520 Ml,00006700002011,26.58,3
Store 23,7Up Soft Drink Diet 1332 Ml,00006540001808,17.98,3
Store 23,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
Store 23,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,15.98,3
