Week End Date,Store No,Product,Dollar Sales,Unit Sales,UPC ID,Geography
1/8/2025,267,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 267
1/8/2025,49,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 49
1/8/2025,43,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 43
1/1/2025,529,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 529
1/1/2025,14,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 14
1/15/2025,859,Pepsi 1000 Ml,22,12,00006900001982,Store 859
1/15/2025,682,Pepsi 1000 Ml,22,12,00006900001982,Store 682
1/15/2025,608,Pepsi 1000 Ml,22,12,00006900001982,Store 608
1/15/2025,584,Pepsi 1000 Ml,22,12,00006900001982,Store 584
1/15/2025,407,Pepsi 1000 Ml,22,12,00006900001982,Store 407
1/22/2025,726,Pepsi 1000 Ml,22,12,00006900001982,Store 726
1/22/2025,661,Pepsi 1000 Ml,22,12,00006900001982,Store 661
1/22/2025,659,Pepsi 1000 Ml,22,12,00006900001982,Store 659
1/22/2025,654,Pepsi 1000 Ml,22,12,00006900001982,Store 654
1/22/2025,381,Pepsi 1000 Ml,22,12,00006900001982,Store 381
1/8/2025,667,Pepsi 1000 Ml,22,12,00006900001982,Store 667
1/8/2025,644,Pepsi 1000 Ml,22,12,00006900001982,Store 644
1/8/2025,625,Pepsi 1000 Ml,22,12,00006900001982,Store 625
1/8/2025,611,Pepsi 1000 Ml,22,12,00006900001982,Store 611
1/8/2025,609,Pepsi 1000 Ml,22,12,00006900001982,Store 609
1/8/2025,581,Pepsi 1000 Ml,22,12,00006900001982,Store 581
1/8/2025,381,Pepsi 1000 Ml,22,12,00006900001982,Store 381
1/1/2025,702,Pepsi 1000 Ml,22,12,00006900001982,Store 702
1/1/2025,682,Pepsi 1000 Ml,22,12,00006900001982,Store 682
1/1/2025,677,Pepsi 1000 Ml,22,12,00006900001982,Store 677
1/1/2025,617,Pepsi 1000 Ml,22,12,00006900001982,Store 617
1/1/2025,615,Pepsi 1000 Ml,22,12,00006900001982,Store 615
1/1/2025,611,Pepsi 1000 Ml,22,12,00006900001982,Store 611
1/1/2025,584,Pepsi 1000 Ml,22,12,00006900001982,Store 584
1/1/2025,580,Pepsi 1000 Ml,22,12,00006900001982,Store 580
1/1/2025,565,Pepsi 1000 Ml,22,12,00006900001982,Store 565
1/1/2025,552,Pepsi 1000 Ml,22,12,00006900001982,Store 552
1/1/2025,538,Pepsi 1000 Ml,22,12,00006900001982,Store 538
1/1/2025,382,Pepsi 1000 Ml,22,12,00006900001982,Store 382
1/8/2025,201,Pepsi 1000 Ml,22,12,00006900001982,Store 201
1/8/2025,104,Pepsi 1000 Ml,22,12,00006900001982,Store 104
1/8/2025,63,Pepsi 1000 Ml,22,12,00006900001982,Store 63
1/8/2025,49,Pepsi 1000 Ml,22,12,00006900001982,Store 49
1/1/2025,57,Pepsi 1000 Ml,22,12,00006900001982,Store 57
1/15/2025,664,Cocacola Zero 500 Ml,22,12,00006700001463,Store 664
1/15/2025,609,Cocacola Zero 500 Ml,22,12,00006700001463,Store 609
1/22/2025,618,Cocacola Zero 500 Ml,22,12,00006700001463,Store 618
1/22/2025,613,Cocacola Zero 500 Ml,22,12,00006700001463,Store 613
1/22/2025,565,Cocacola Zero 500 Ml,22,12,00006700001463,Store 565
1/22/2025,541,Cocacola Zero 500 Ml,22,12,00006700001463,Store 541
1/22/2025,420,Cocacola Zero 500 Ml,22,12,00006700001463,Store 420
1/22/2025,374,Cocacola Zero 500 Ml,22,12,00006700001463,Store 374
1/22/2025,371,Cocacola Zero 500 Ml,22,12,00006700001463,Store 371
1/8/2025,862,Cocacola Zero 500 Ml,22,12,00006700001463,Store 862
1/8/2025,853,Cocacola Zero 500 Ml,22,12,00006700001463,Store 853
1/8/2025,723,Cocacola Zero 500 Ml,22,12,00006700001463,Store 723
1/8/2025,687,Cocacola Zero 500 Ml,22,12,00006700001463,Store 687
1/8/2025,675,Cocacola Zero 500 Ml,22,12,00006700001463,Store 675
1/8/2025,674,Cocacola Zero 500 Ml,22,12,00006700001463,Store 674
1/8/2025,667,Cocacola Zero 500 Ml,22,12,00006700001463,Store 667
1/8/2025,643,Cocacola Zero 500 Ml,22,12,00006700001463,Store 643
1/8/2025,609,Cocacola Zero 500 Ml,22,12,00006700001463,Store 609
1/8/2025,556,Cocacola Zero 500 Ml,22,12,00006700001463,Store 556
1/8/2025,546,Cocacola Zero 500 Ml,22,12,00006700001463,Store 546
1/8/2025,413,Cocacola Zero 500 Ml,22,12,00006700001463,Store 413
1/8/2025,407,Cocacola Zero 500 Ml,22,12,00006700001463,Store 407
1/8/2025,387,Cocacola Zero 500 Ml,22,12,00006700001463,Store 387
1/8/2025,354,Cocacola Zero 500 Ml,22,12,00006700001463,Store 354
1/1/2025,859,Cocacola Zero 500 Ml,22,12,00006700001463,Store 859
1/1/2025,776,Cocacola Zero 500 Ml,22,12,00006700001463,Store 776
1/1/2025,701,Cocacola Zero 500 Ml,22,12,00006700001463,Store 701
1/1/2025,606,Cocacola Zero 500 Ml,22,12,00006700001463,Store 606
1/1/2025,559,Cocacola Zero 500 Ml,22,12,00006700001463,Store 559
1/1/2025,555,Cocacola Zero 500 Ml,22,12,00006700001463,Store 555
1/1/2025,554,Cocacola Zero 500 Ml,22,12,00006700001463,Store 554
1/1/2025,408,Cocacola Zero 500 Ml,22,12,00006700001463,Store 408
1/1/2025,404,Cocacola Zero 500 Ml,22,12,00006700001463,Store 404
1/1/2025,401,Cocacola Zero 500 Ml,22,12,00006700001463,Store 401
1/15/2025,519,Cocacola Zero 500 Ml,22,12,00006700001463,Store 519
1/15/2025,506,Cocacola Zero 500 Ml,22,12,00006700001463,Store 506
1/15/2025,198,Cocacola Zero 500 Ml,22,12,00006700001463,Store 198
1/22/2025,893,Cocacola Zero 500 Ml,22,12,00006700001463,Store 893
1/22/2025,249,Cocacola Zero 500 Ml,22,12,00006700001463,Store 249
1/8/2025,179,Cocacola Zero 500 Ml,22,12,00006700001463,Store 179
1/8/2025,140,Cocacola Zero 500 Ml,22,12,00006700001463,Store 140
1/1/2025,267,Cocacola Zero 500 Ml,22,12,00006700001463,Store 267
1/1/2025,91,Cocacola Zero 500 Ml,22,12,00006700001463,Store 91
1/22/2025,643,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 643
1/8/2025,556,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 556
1/8/2025,541,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 541
1/15/2025,581,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 581
1/15/2025,412,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 412
1/1/2025,617,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 617
1/1/2025,564,Comp Ginger Ale 355 Ml,22,12,00005574234580,Store 564
1/22/2025,672,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 672
1/8/2025,677,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 677
1/8/2025,611,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 611
1/8/2025,565,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 565
1/8/2025,537,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 537
1/15/2025,617,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 617
1/15/2025,559,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 559
1/15/2025,554,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 554
1/15/2025,537,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 537
1/15/2025,412,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 412
1/1/2025,675,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 675
1/1/2025,555,Pepsi Wild Cherry 591 Ml,22,12,00006900031008,Store 555
1/15/2025,734,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 734
1/15/2025,657,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 657
1/15/2025,612,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 612
1/15/2025,354,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 354
1/15/2025,161,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 161
1/22/2025,677,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 677
1/22/2025,405,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 405
1/22/2025,346,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 346
1/8/2025,717,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 717
1/8/2025,680,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 680
1/8/2025,625,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 625
1/8/2025,552,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 552
1/1/2025,725,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 725
1/1/2025,680,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 680
1/1/2025,343,1642 Tonic Water 750 Ml,22,12,00062805581917,Store 343
1/15/2025,724,7Up 2L 2000 Ml,22,12,00006540001073,Store 724
1/15/2025,659,7Up 2L 2000 Ml,22,12,00006540001073,Store 659
1/15/2025,613,7Up 2L 2000 Ml,22,12,00006540001073,Store 613
1/15/2025,606,7Up 2L 2000 Ml,22,12,00006540001073,Store 606
1/15/2025,584,7Up 2L 2000 Ml,22,12,00006540001073,Store 584
1/15/2025,563,7Up 2L 2000 Ml,22,12,00006540001073,Store 563
1/22/2025,725,7Up 2L 2000 Ml,22,12,00006540001073,Store 725
1/22/2025,675,7Up 2L 2000 Ml,22,12,00006540001073,Store 675
1/22/2025,604,7Up 2L 2000 Ml,22,12,00006540001073,Store 604
1/22/2025,599,7Up 2L 2000 Ml,22,12,00006540001073,Store 599
1/22/2025,579,7Up 2L 2000 Ml,22,12,00006540001073,Store 579
1/22/2025,563,7Up 2L 2000 Ml,22,12,00006540001073,Store 563
1/22/2025,556,7Up 2L 2000 Ml,22,12,00006540001073,Store 556
1/22/2025,555,7Up 2L 2000 Ml,22,12,00006540001073,Store 555
1/22/2025,420,7Up 2L 2000 Ml,22,12,00006540001073,Store 420
1/22/2025,413,7Up 2L 2000 Ml,22,12,00006540001073,Store 413
1/22/2025,386,7Up 2L 2000 Ml,22,12,00006540001073,Store 386
1/22/2025,342,7Up 2L 2000 Ml,22,12,00006540001073,Store 342
1/8/2025,757,7Up 2L 2000 Ml,22,12,00006540001073,Store 757
1/8/2025,734,7Up 2L 2000 Ml,22,12,00006540001073,Store 734
1/8/2025,723,7Up 2L 2000 Ml,22,12,00006540001073,Store 723
1/8/2025,718,7Up 2L 2000 Ml,22,12,00006540001073,Store 718
1/8/2025,717,7Up 2L 2000 Ml,22,12,00006540001073,Store 717
1/8/2025,690,7Up 2L 2000 Ml,22,12,00006540001073,Store 690
1/8/2025,666,7Up 2L 2000 Ml,22,12,00006540001073,Store 666
1/8/2025,659,7Up 2L 2000 Ml,22,12,00006540001073,Store 659
1/8/2025,630,7Up 2L 2000 Ml,22,12,00006540001073,Store 630
1/8/2025,615,7Up 2L 2000 Ml,22,12,00006540001073,Store 615
1/8/2025,612,7Up 2L 2000 Ml,22,12,00006540001073,Store 612
1/8/2025,611,7Up 2L 2000 Ml,22,12,00006540001073,Store 611
1/8/2025,542,7Up 2L 2000 Ml,22,12,00006540001073,Store 542
1/8/2025,387,7Up 2L 2000 Ml,22,12,00006540001073,Store 387
1/8/2025,377,7Up 2L 2000 Ml,22,12,00006540001073,Store 377
1/8/2025,349,7Up 2L 2000 Ml,22,12,00006540001073,Store 349
1/1/2025,718,7Up 2L 2000 Ml,22,12,00006540001073,Store 718
1/1/2025,686,7Up 2L 2000 Ml,22,12,00006540001073,Store 686
1/1/2025,684,7Up 2L 2000 Ml,22,12,00006540001073,Store 684
1/1/2025,660,7Up 2L 2000 Ml,22,12,00006540001073,Store 660
1/1/2025,612,7Up 2L 2000 Ml,22,12,00006540001073,Store 612
1/1/2025,554,7Up 2L 2000 Ml,22,12,00006540001073,Store 554
1/1/2025,485,7Up 2L 2000 Ml,22,12,00006540001073,Store 485
1/1/2025,377,7Up 2L 2000 Ml,22,12,00006540001073,Store 377
1/15/2025,857,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 857
1/15/2025,760,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 760
1/15/2025,306,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 306
1/22/2025,336,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 336
1/22/2025,51,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 51
1/8/2025,760,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 760
1/8/2025,269,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 269
1/8/2025,100,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 100
1/8/2025,23,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 23
1/1/2025,46,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 46
1/1/2025,45,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 45
1/1/2025,38,Canaddry Ginger Ale Cranbry 1332 Ml,95.92,12,00006210002048,Store 38
1/15/2025,775,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 775
1/15/2025,346,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 346
1/22/2025,628,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 628
1/8/2025,861,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 861
1/8/2025,604,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 604
1/8/2025,553,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 553
1/8/2025,420,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 420
1/1/2025,895,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 895
1/1/2025,776,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 776
1/1/2025,679,Sprite Mini Sleek Can 1332 Ml,95.92,12,00006700011986,Store 679
