Store Number,Store Name,Address,City Name,Province Name,Postal Code,Banner Name,Store Status
6644,Store 6644,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6609,Store 6609,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6612,Store 6612,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6613,Store 6613,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6614,Store 6614,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6615,Store 6615,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6619,Store 6619,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6620,Store 6620,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6622,Store 6622,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6630,Store 6630,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6661,Store 6661,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,INACTIVE
6662,Store 6662,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6664,Store 6664,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6667,Store 6667,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6670,Store 6670,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6672,Store 6672,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6673,Store 6673,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6607,Store 6607,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6616,Store 6616,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6617,Store 6617,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6628,Store 6628,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6649,Store 6649,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6642,Store 6642,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,INACTIVE
6645,Store 6645,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6650,Store 6650,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6643,Store 6643,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6623,Store 6623,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6682,Store 6682,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6686,Store 6686,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
